,Економска класификација,ОПИС,Приходи из буџета   ,Сопствени приходи ,Донације од осталих нивоа власти ,Остали,УКУПНО,,,
,411000,"Плате, додаци и накнаде запослених  ",,,,,"563.865.000,00",,,
,412000,Социјални доприноси на терет послодавца,,,,,"100.958.000,00",,,
,413000,Накнаде у натури,,,,,"2.210.000,00",,,
,414000,Социјална давања запосленима,,,,,"24.087.000,00",,,
,415000,Накнаде трошкова за запослене,,,,,"13.390.000,00",,,
,416000,Награде запосленима и остали посебни расходи,,,,,"4.380.000,00",,,
,421000,Стални трошкови,,,,,"276.640.000,00",,,
,422000,Трошкови путовања,,,,,"4.270.000,00",,,
,423000,Услуге по уговору,,,,,"82.455.000,00",,,
,424000,Специјализоване услуге,,,,,"219.439.167,00",,,
,425000,Текуће поправке и одржавање ,,,,,"414.700.000,00",,,
,426000,Материјал,,,,,"60.935.000,00",,,
,431000,Амортизација некретнина и опреме,,,,,"0,00",,,
,441000,Отплата камата домаћим пословним банкама,,,,,"9.900.000,00",,,
,444000,Пратећи трошкови задуживања,,,,,"133.000,00",,,
,451000,Субвенције јавним нефинансијским предузећима и организацијама,,,,,"112.000.000,00",,,
,454000,Субвенције приватним предузећима,,,,,"0,00",,,
,472000,Накнаде за социјалну заштиту из буџета,,,,,"103.800.000,00",,,
,481000,Дотације невладиним организацијама,,,,,"68.200.000,00",,,
,482000,"Порези,обавезне таксе и казне ",,,,,"5.025.000,00",,,
,483000,Новчане казне и пенали по решењу судова ,,,,,"4.100.000,00",,,
,484000,Накнада штете за повреде или штету насталу услед елементарних непогода или других природних узрока,,,,,"30.000.000,00",,,
,485000,Накнада штете за повреде или  штету нанету од стране државних органа,,,,,"14.750.000,00",,,
,499000,Средства резерве:,,,,,"35.000.000,00",,,
,,"Стална резерва          2.000.000,00",,,,,,,,
,,"Текућа резерва        33.000.000,00",,,,,,,,
,511000,Зграде и грађевински објекти,,,,,"629.500.000,00",,,
,512000,Машине и опрема,,,,,"65.320.000,00",,,
,513000,Остале некретнине и опрема,,,,,"0,00",,,
,515000,Нематеријална имовина,,,,,"3.470.000,00",,,
,523000,Залихе робе за даљу продају,,,,,"0,00",,,
,541000,Земљиште,,,,,"20.000.000,00",,,
,611000,Отплата главнице домаћим пословним банкама,,,,,"92.000.000,00",,,
,621000,Набавка домаће финансијске имовине,,,,,"0,00",,,
,,Трансфери осталим нивоима власти,,,,,,,,
,463100,Текући трансфери осталим нивоима власти,,,,,"408.966.550,00",,,
,463200,Капитални трансфери осталим нивоима власти,,,,,"62.233.450,00",,,
,,Дотације организацијама обавезног социјалног осигурања,,,,,,,,
,464100,Текуће дотације организацијама обавезног социјалног осигурања,,,,,"23.800.000,00",,,
,,Остале дотације и трансфери,,,,,,,,
,465100,Остале текуће дотације и трансфери,,,,,"600.000,00",,,
,465200,Остале капиталне дотације и трансфери,,,,,"38.000.000,00",,,
,,СВЕГА СРЕДСТВА ИЗ БУЏЕТА:,,,,,"3.494.127.167,00",,,